id,priority,status,scope,task,verification
R-001,P0,done,backend-rendering,让背景清理和译文排版共享 RenderPageSpec 几何计划，redaction 使用 RenderLayoutBlock.background_rect，pytest rendering
R-002,P0,done,backend-rendering,收敛 auto redaction 路由并明确 text_layer_only/visual_cover/visual_cover_and_remove_text 三类稳定策略，pytest rendering golden
R-003,P1,done,backend-rendering,为背景 Typst 模式建立显式 PageMap 并覆盖 TOC/后续链接/元数据映射，pytest pdf_metadata golden
R-004,P1,done,backend-rendering,建立页面类型分类器 scan_image/pseudo_editable_scan/vector_heavy/mixed_complex，替换单一大图阈值判断，pytest rendering
R-005,P2,done,backend-rendering,清理渲染目录 .ipynb_checkpoints 杂文件并避免进入架构/测试扫描，compileall
R-006,P1,done,backend-rendering,建立 RenderPageRoute 诊断层并按 redaction/background/compose/layout 单文件拆分，pytest rendering architecture
R-007,P1,done,backend-rendering,补齐 rendering 一级目录 README 并用架构检查卡住 page_profile/page_route 边界，pytest rendering architecture
R-008,P1,done,backend-rendering,新增 document 目录收拢 page_map/pdf_metadata/source_pdf 并保留根目录兼容 wrapper，pytest rendering architecture
R-009,P1,done,backend-rendering,按 workflow/analysis/document/source/layout/output/legacy 目标结构启动目录重命名，第一批迁移 workflow/legacy/layout-model/output-writer，pytest rendering architecture
R-010,P1,done,backend-rendering,第二批迁移 analysis：page_profile/page_route/page_classifier 归入 analysis 并保留兼容 wrapper，pytest rendering architecture
R-011,P1,done,backend-rendering,第三批迁移 source：preprocess/redaction/background/compress/source_pdf 归入 source 子目录，pytest rendering architecture
R-012,P1,done,backend-rendering,第四批迁移 output：typst 归入 output/typst 并清理旧 typst wrapper，pytest rendering architecture
R-013,P1,done,backend-rendering,第五批迁移 layout inline content：formula 归入 layout/inline_content 并保留兼容 wrapper，pytest rendering formula architecture
R-014,P1,done,backend-rendering,删除 rendering 根目录旧 wrapper 目录并收敛为 workflow/analysis/document/source/layout/output/legacy 七个正式大类，pytest rendering formula architecture
R-015,P1,done,backend-rendering,迁移 render-only 入口到 workflow/render_only.py 并清理 rendering 根目录散文件和旧路径文档残留，pytest rendering formula architecture
R-016,P1,done,backend-rendering,细化 rendering 内部命名：render_model 改 page_specs、prepare 改 render_source、book_ops/book_helpers 改 book_renderer/book_support，compileall rendering
R-017,P1,done,backend-rendering,细化 source/cleanup 内部命名：redaction_* 文件收敛为 analysis/config/fill/geometry/plan/routes 并同步测试，pytest rendering
R-018,P2,done,backend-rendering,细化 output/typst 命名：page_ops 改 source_page_overlay 并同步 Typst overlay 引用，pytest rendering formula architecture
